Ativo	Data	Último (R$)	Var. Dia	Var. Sem	Var. Mês	Var. Ano	Var. 12M	Val. Mín	Val. Máx	Volume	Quantidade de ações	Empresa	Segmento	Idade	Catedoria_idade	Var. Dia (%)	Valor Inicial (R$)	Variação (R$)	Resultado	Var. Sem. (%)	Valor Inicial (R$)	Variação. Sem. (R$)	Resultado	Var. Mês (%)	Valor Inical (R$)	Variação (R$)	Resultado	Var. Ano (%)	Var. Incial (R$)	Variação (R$)	Resultado	Var. 12M(%)	Valor Inicial (R$)	Variação (R$)	Resultado
VIVT3	1/26/2024	51,20	0,88	1,09	-4,19	-4,19	32,78	50,62	51,26	64,92 M	423.091.712	Vivo	Telecomunicações	20	11-20 anos	0,0088	R$ 50,75	R$ 188.965.307,06	Subiu	0,0109	R$ 50,65	R$ 233.573.076,10	Subiu	-0,0419	53,44	-R$ 947.343.897,21	Desceu	-0,0419	R$ 53,44	-R$ 947.343.897,21	Desceu	0,3278	R$ 38,56	R$ 5.347.869.043,16	Subiu
RAIL3	1/26/2024	22,64	0,84	1,07	-1,35	-1,35	20,93	22,32	22,83	178,44 M	1.218.352.541	Rumo	Logística	12	11-20 anos	0,0084	R$ 22,45	R$ 229.771.333,63	Subiu	0,0107	R$ 22,40	R$ 292.018.864,50	Subiu	-0,0135	22,95	-R$ 377.473.158,27	Desceu	-0,0135	R$ 22,95	-R$ 377.473.158,27	Desceu	0,2093	R$ 18,72	R$ 4.774.023.707,81	Subiu
CIEL3	1/26/2024	4,90	0,82	9,38	5,83	5,83	-2,19	4,82	4,97	144,47 M	1.095.462.329	Cielo	Meios de Pagamento	23	21-30 anos	0,0082	R$ 4,86	R$ 43.657.683,38	Subiu	0,0938	R$ 4,48	R$ 460.318.518,61	Subiu	0,0583	4,63	R$ 295.701.335,66	Subiu	0,0583	R$ 4,63	R$ 295.701.335,66	Subiu	-0,0219	R$ 5,01	-R$ 120.186.138,97	Desceu
DXCO3	1/26/2024	7,81	0,77	3,17	-3,22	-3,22	9,94	7,7	7,85	21,5 M	302.768.240	Dexco	Construção Civil	41	41-50 anos	0,0077	R$ 7,75	R$ 18.068.446,61	Subiu	0,0317	R$ 7,57	R$ 72.655.280,17	Subiu	-0,0322	8,07	-R$ 78.674.067,51	Desceu	-0,0322	R$ 8,07	-R$ 78.674.067,51	Desceu	0,0994	R$ 7,10	R$ 213.792.271,66	Subiu
TIMS3	1/26/2024	17,52	0,74	-0,57	-2,29	-2,29	56,87	17,36	17,58	62,54 M	807.896.814	TIM	Telecomunicações	25	21-30 anos	0,0074	R$ 17,39	R$ 103.972.807,37	Subiu	-0,0057	R$ 17,62	-R$ 81.142.318,65	Desceu	-0,0229	17,93	-R$ 331.731.312,00	Desceu	-0,0229	R$ 17,93	-R$ 331.731.312,00	Desceu	0,5687	R$ 11,17	R$ 5.131.369.978,64	Subiu
BRAP4	1/26/2024	23,22	0,73	1,93	-9,51	-9,51	-20,4	22,69	23,28	69,45 M	251.003.438	Bradespar	Holding	20	11-20 anos	0,0073	R$ 23,05	R$ 42.238.249,54	Subiu	0,0193	R$ 22,78	R$ 110.356.309,94	Subiu	-0,0951	25,66	-R$ 612.522.172,47	Desceu	-0,0951	R$ 25,66	-R$ 612.522.172,47	Desceu	-0,204	R$ 29,17	-R$ 1.493.684.881,15	Desceu
LWSA3	1/26/2024	5,55	0,72	-3,65	-7,65	-7,65	-14,03	5,46	5,6	56,4 M	393.173.139	Locaweb	Tecnologia	24	21-30 anos	0,0072	R$ 5,51	R$ 15.598.886,65	Subiu	-0,0365	R$ 5,76	-R$ 82.664.295,42	Desceu	-0,0765	6,01	-R$ 180.759.594,47	Desceu	-0,0765	R$ 6,01	-R$ 180.759.594,47	Desceu	-0,1403	R$ 6,46	-R$ 356.112.786,18	Desceu
RECV3	1/26/2024	23,83	0,71	1,49	9,71	9,71	-26,61	23,36	23,99	58,9 M	275.005.663	PetroRecôncavo	Petróleo e Gás	7	0-10 anos	0,0071	R$ 23,66	R$ 46.201.006,00	Subiu	0,0149	R$ 23,48	R$ 96.211.878,75	Subiu	0,0971	21,72	R$ 580.014.290,93	Subiu	0,0971	R$ 21,72	R$ 580.014.290,93	Subiu	-0,2661	R$ 32,47	-R$ 2.376.148.978,07	Desceu
ITSA4	1/26/2024	10,01	0,7	-0,3	-3,47	-3,47	29	9,93	10,06	168,56 M	5.372.783.971	Itaúsa	Holding	55	51-60 anos	0,007	R$ 9,94	R$ 373.853.994,88	Subiu	-0,003	R$ 10,04	-R$ 161.830.193,23	Desceu	-0,0347	10,37	-R$ 1.933.306.116,21	Desceu	-0,0347	R$ 10,37	-R$ 1.933.306.116,21	Desceu	0,29	R$ 7,76	R$ 12.090.429.914,28	Subiu
BBAS3	1/26/2024	56,97	0,68	1,88	2,85	2,85	52,87	56,55	56,99	465,62 M	1.420.949.112	Banco do Brasil	Banco	213	Mais de 120 anos	0,0068	R$ 56,59	R$ 546.752.087,99	Subiu	0,0188	R$ 55,92	R$ 1.493.804.135,37	Subiu	0,0285	55,39	R$ 2.243.186.116,63	Subiu	0,0285	R$ 55,39	R$ 2.243.186.116,63	Subiu	0,5287	R$ 37,27	R$ 27.997.018.820,21	Subiu
RADL3	1/26/2024	26,16	0,61	-2,75	-11,02	-11,02	10,07	25,87	26,38	100,44 M	1.275.798.515	RaiaDrogasil	Farmácias	118	111-120 anos	0,0061	R$ 26,00	R$ 202.352.473,74	Subiu	-0,0275	R$ 26,90	-R$ 943.762.932,33	Desceu	-0,1102	29,40	-R$ 4.133.415.132,16	Desceu	-0,1102	R$ 29,40	-R$ 4.133.415.132,16	Desceu	0,1007	R$ 23,77	R$ 3.053.376.340,19	Subiu
